"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226","Validate that the Get /users with specific {ID} Endpoint get this user when sending a valid request.","","Sun May 18 16:52:16 EEST 2025","passed","Sun May 18 16:52:16 EEST 2025","","Validate CRU [Create - Read - Update] for Users endpoint","Validate that the Get /users with specific {ID} Endpoint get this user when sending a valid request.",""
"","1354","Validate that the Post /users Endpoint create a new user when sending a valid request.","","Sun May 18 16:04:43 EEST 2025","passed","Sun May 18 16:04:44 EEST 2025","","Validate CRU [Create - Read - Update] for Users endpoint","Validate that the Post /users Endpoint create a new user when sending a valid request.",""
"  As a registered user
  I want to browse and purchase video games under a budget
  So that I can buy affordable games with preferred shipping and payment options","112672","Add all video games under 15,000 EGP with filters and verify cart summary","","Sun May 18 16:52:30 EEST 2025","passed","Sun May 18 16:54:23 EEST 2025","","Purchase affordable video games from Amazon Egypt","Add all video games under 15,000 EGP with filters and verify cart summary",""
"","240","Validate that the Get /users with specific {ID} Endpoint get this user when sending a valid request.","","Sun May 18 16:04:44 EEST 2025","passed","Sun May 18 16:04:44 EEST 2025","","Validate CRU [Create - Read - Update] for Users endpoint","Validate that the Get /users with specific {ID} Endpoint get this user when sending a valid request.",""
"","265","Validate that the Put /users Endpoint create a new user when sending a valid request.","","Sun May 18 16:52:16 EEST 2025","passed","Sun May 18 16:52:16 EEST 2025","","Validate CRU [Create - Read - Update] for Users endpoint","Validate that the Put /users Endpoint create a new user when sending a valid request.",""
"","294","Validate that the Post /users Endpoint create a new user when sending a valid request.","","Sun May 18 16:04:44 EEST 2025","passed","Sun May 18 16:04:45 EEST 2025","","Validate CRU [Create - Read - Update] for Users endpoint","Validate that the Post /users Endpoint create a new user when sending a valid request.",""
"","1192","Validate that the Post /users Endpoint create a new user when sending a valid request.","","Sun May 18 16:52:14 EEST 2025","passed","Sun May 18 16:52:16 EEST 2025","","Validate CRU [Create - Read - Update] for Users endpoint","Validate that the Post /users Endpoint create a new user when sending a valid request.",""
